Current memory usage:
Pool	 Obj Size	Chunks							Allocated					In Use					Idle			Allocations Saved			Rate	
 	 (bytes)	KB/ch	 obj/ch	(#)	 used	 free	 part	 %Frag	 (#)	 (KB)	 high (KB)	 high (hrs)	 %Tot	(#)	 (KB)	 high (KB)	 high (hrs)	 %alloc	(#)	 (KB)	 high (KB)	(#)	 %cnt	 %vol	(#)/sec	
mem_node            	 4136	 	 	 	 	 	 	 	 292390	 1180982	 1336651	 4.76	 86.464	 292191	 1180178	 1336651	 4.76	 99.932	 199	 804	 16173	 1641718	 1.322	 21.088	 0.001
Short Strings       	   40	 	 	 	 	 	 	 	 1701206	 66454	 73289	 4.76	 4.865	 1699725	 66396	 73289	 4.76	 99.913	 1481	 58	 250	 37674459	 30.347	 4.680	 0.029
HttpHeaderEntry     	   56	 	 	 	 	 	 	 	 796862	 43579	 47925	 4.76	 3.191	 796197	 43543	 47925	 4.76	 99.917	 665	 37	 163	 10727306	 8.641	 1.866	 0.008
HttpReply           	  280	 	 	 	 	 	 	 	 74302	 20317	 22720	 4.76	 1.487	 74275	 20310	 22720	 4.76	 99.964	 27	 8	 135	 754702	 0.608	 0.656	 0.001
MemObject           	  240	 	 	 	 	 	 	 	 74278	 17409	 19473	 4.76	 1.275	 74273	 17408	 19473	 4.76	 99.993	 5	 2	 121	 187591	 0.151	 0.140	 0.000
StoreEntry          	  104	 	 	 	 	 	 	 	 79949	 8120	 9020	 4.76	 0.594	 79944	 8120	 9020	 4.76	 99.994	 5	 1	 53	 198382	 0.160	 0.064	 0.000
HttpHdrCc           	   96	 	 	 	 	 	 	 	 50739	 4757	 5279	 4.76	 0.348	 50725	 4756	 5279	 4.76	 99.972	 14	 2	 41	 602296	 0.485	 0.180	 0.000
Medium Strings      	  128	 	 	 	 	 	 	 	 37543	 4693	 4889	 3.29	 0.344	 37426	 4679	 4889	 3.29	 99.688	 117	 15	 48	 2579153	 2.078	 1.025	 0.002
cbdata MemBuf (9)   	   64	 	 	 	 	 	 	 	 74339	 4647	 5197	 4.76	 0.340	 74310	 4645	 5197	 4.76	 99.961	 29	 2	 31	 1332078	 1.073	 0.265	 0.001
Long Strings        	  512	 	 	 	 	 	 	 	 4170	 2085	 2085	 0.04	 0.153	 4105	 2053	 2085	 0.04	 98.441	 65	 33	 130	 389656	 0.314	 0.620	 0.000
