
Pool	 Obj Size	Chunks							Allocated					In Use					Idle			Allocations Saved			Rate	
 	 (bytes)	KB/ch	 obj/ch	(#)	 used	 free	 part	 %Frag	 (#)	 (KB)	 high (KB)	 high (hrs)	 %Tot	(#)	 (KB)	 high (KB)	 high (hrs)	 %alloc	(#)	 (KB)	 high (KB)	(#)	 %cnt	 %vol	(#)/sec	
mem_node            	 4136	 	 	 	 	 	 	 	 64944	 262313	 265205	 2.87	 25.807	 64854	 261950	 265205	 2.87	 99.861	 90	 364	 4036	 4445407	 2.478	 20.090	 0.003
ExternalACLEntry    	  256	 	 	 	 	 	 	 	 998772	 249693	 249693	 0.00	 24.566	 998771	 249693	 249693	 0.00	 100.000	 1	 1	 1	 708911	 0.395	 0.198	 0.001
Long Strings        	  512	 	 	 	 	 	 	 	 437504	 218752	 224054	 0.71	 21.522	 437498	 218749	 224054	 0.71	 99.999	 6	 3	 839	 4201687	 2.342	 2.351	 0.003
Medium Strings      	  128	 	 	 	 	 	 	 	 543962	 67996	 68087	 0.05	 6.690	 543714	 67965	 68087	 0.05	 99.954	 248	 31	 170	 12529486	 6.983	 1.752	 0.009
StoreEntry          	  120	 	 	 	 	 	 	 	 442960	 51910	 56978	 3.15	 5.107	 442949	 51909	 56978	 3.15	 99.998	 11	 2	 102	 332274	 0.185	 0.044	 0.001
Short Strings       	   40	 	 	 	 	 	 	 	 1323856	 51714	 53226	 0.72	 5.088	 1323436	 51697	 53226	 0.72	 99.968	 420	 17	 520	 63712274	 35.509	 2.785	 0.045
NotePairs::Entry    	   48	 	 	 	 	 	 	 	 669665	 31391	 31391	 0.00	 3.088	 669636	 31390	 31391	 0.00	 99.996	 29	 2	 30	 9098556	 5.071	 0.477	 0.007
16KB Strings        	 16384	 	 	 	 	 	 	 	 1232	 19712	 52272	 2.52	 1.939	 1231	 19696	 52272	 2.52	 99.919	 1	 16	 4576	 782012	 0.436	 14.000	 0.001
LRU policy node     	   24	 	 	 	 	 	 	 	 460379	 10791	 11683	 2.88	 1.062	 460370	 10790	 11683	 2.88	 99.998	 9	 1	 27	 69551	 0.039	 0.002	 0.000
HttpHeaderEntry     	   56	 	 	 	 	 	 	 	 179215	 9801	 10985	 1.21	 0.964	 178979	 9788	 10985	 1.21	 99.868	 236	 13	 350	 13955943	 7.778	 0.854	 0.010
MD5 digest          	   16	 	 	 	 	 	 	 	 442960	 6922	 7597	 3.15	 0.681	 442949	 6922	 7597	 3.15	 99.998	 11	 1	 14	 398517	 0.222	 0.007	 0.001
MemObject           	  328	 	 	 	 	 	 	 	 17563	 5626	 6040	 0.98	 0.553	 17539	 5618	 6040	 0.98	 99.863	 24	 8	 223	 378802	 0.211	 0.136	 0.000
4KB Strings         	 4096	 	 	 	 	 	 	 	 1259	 5036	 5036	 0.01	 0.495	 1247	 4988	 5036	 0.01	 99.047	 12	 48	 748	 127748	 0.071	 0.572	 0.000
HttpReply           	  280	 	 	 	 	 	 	 	 17569	 4805	 5159	 1.21	 0.473	 17543	 4797	 5159	 1.21	 99.852	 26	 8	 191	 1145088	 0.638	 0.350	 0.001
cbdata clientReplyContext (22)	 4320	 	 	 	 	 	 	 	 1120	 4725	 12285	 2.52	 0.465	 1119	 4721	 12285	 2.52	 99.911	 1	 5	 958	 583958	 0.325	 2.757	 0.000
cbdata ClientSocketContext (21)	 4256	 	 	 	 	 	 	 	 1120	 4655	 12103	 2.52	 0.458	 1119	 4651	 12103	 2.52	 99.911	 1	 5	 944	 583958	 0.325	 2.716	 0.000
HttpRequest         	 1784	 	 	 	 	 	 	 	 1139	 1985	 5086	 2.52	 0.195	 1138	 1983	 5086	 2.52	 99.912	 1	 2	 394	 584066	 0.326	 1.139	 0.000
cbdata MemBuf (13)  	   64	 	 	 	 	 	 	 	 17790	 1112	 1195	 1.21	 0.109	 17756	 1110	 1195	 1.21	 99.809	 34	 3	 44	 3950213	 2.202	 0.276	 0.003
HttpHdrCc           	   96	 	 	 	 	 	 	 	 10688	 1002	 1061	 0.54	 0.099	 10641	 998	 1061	 0.54	 99.560	 47	 5	 49	 494286	 0.275	 0.052	 0.000
4K Buffer           	 4096	 	 	 	 	 	 	 	 215	 860	 880	 1.12	 0.085	 207	 828	 880	 1.12	 96.279	 8	 32	 120	 394673	 0.220	 1.766	 0.000
Comm::Connection    	  200	 	 	 	 	 	 	 	 3692	 722	 1798	 2.27	 0.071	 3681	 719	 1798	 2.27	 99.702	 11	 3	 146	 1708339	 0.952	 0.373	 0.001
1KB Strings         	 1024	 	 	 	 	 	 	 	 707	 707	 1846	 1.86	 0.070	 634	 634	 1846	 1.86	 89.675	 73	 73	 289	 3827224	 2.133	 4.282	 0.003
cbdata Server (18)  	  520	 	 	 	 	 	 	 	 1273	 647	 1677	 2.53	 0.064	 1272	 646	 1677	 2.53	 99.921	 1	 1	 150	 401690	 0.224	 0.228	 0.000
cbdata IdleConnList (39)	 4160	 	 	 	 	 	 	 	 133	 541	 1187	 1.25	 0.053	 125	 508	 1187	 1.25	 93.985	 8	 33	 646	 70268	 0.039	 0.319	 0.000
cbdata ClientHttpRequest (20)	  392	 	 	 	 	 	 	 	 1120	 429	 1115	 2.52	 0.042	 1119	 429	 1115	 2.52	 99.911	 1	 1	 87	 583958	 0.325	 0.250	 0.000
cbdata idns_query (10)	 8696	 	 	 	 	 	 	 	 49	 417	 2523	 3.10	 0.041	 12	 102	 2523	 3.10	 24.490	 37	 315	 2234	 253002	 0.141	 2.404	 0.000
ClientInfo          	  432	 	 	 	 	 	 	 	 862	 364	 364	 0.00	 0.036	 862	 364	 364	 0.00	 100.000	 0	 0	 0	 0	 0.000	 0.000	 0.000
