HTTP/1.1 200 OK
Server: squid/3.5.23
Mime-Version: 1.0
Date: Thu, 19 Jan 2017 23:39:38 GMT
Content-Type: text/plain;charset=utf-8
Expires: Thu, 19 Jan 2017 23:39:38 GMT
Last-Modified: Thu, 19 Jan 2017 23:39:38 GMT
X-Cache: MISS from ip-172-22-10-120
X-Cache-Lookup: MISS from ip-172-22-10-120:3128
Connection: close

Current memory usage:
Pool	 Obj Size	Chunks							Allocated					In Use					Idle			Allocations Saved			Rate	
 	 (bytes)	KB/ch	 obj/ch	(#)	 used	 free	 part	 %Frag	 (#)	 (KB)	 high (KB)	 high (hrs)	 %Tot	(#)	 (KB)	 high (KB)	 high (hrs)	 %alloc	(#)	 (KB)	 high (KB)	(#)	 %cnt	 %vol	(#)/sec	
mem_node            	 4136	 	 	 	 	 	 	 	 569150	 2298833	 2299059	 4.14	 55.082	 569132	 2298760	 2299059	 4.14	 99.997	 18	 73	 1596	 6403998	 0.288	 4.225	 30.618
Short Strings       	   40	 	 	 	 	 	 	 	 15932521	 622365	 622443	 25.27	 14.913	 15932253	 622354	 622443	 25.27	 99.998	 268	 11	 268	 1286674648	 57.866	 8.209	 6921.017
HttpHeaderEntry     	   56	 	 	 	 	 	 	 	 7397138	 404531	 404577	 25.27	 9.693	 7397028	 404525	 404577	 25.27	 99.999	 110	 7	 180	 333424345	 14.995	 2.978	 1835.071
Long Strings        	  512	 	 	 	 	 	 	 	 569039	 284520	 284525	 23.43	 6.817	 568971	 284486	 284525	 23.43	 99.988	 68	 34	 161	 4379781	 0.197	 0.358	 36.678
MemObject           	  328	 	 	 	 	 	 	 	 569092	 182288	 182290	 25.27	 4.368	 569028	 182267	 182290	 25.27	 99.989	 64	 21	 101	 7584864	 0.341	 0.397	 42.083
HttpReply           	  280	 	 	 	 	 	 	 	 569093	 155612	 155614	 25.27	 3.729	 569029	 155594	 155614	 25.27	 99.989	 64	 18	 86	 22742497	 1.023	 1.016	 115.072
StoreEntry          	  104	 	 	 	 	 	 	 	 728265	 73965	 73965	 0.00	 1.772	 728265	 73965	 73965	 0.00	 100.000	 0	 0	 5	 6234621	 0.280	 0.103	 30.575
Medium Strings      	  128	 	 	 	 	 	 	 	 569213	 71152	 71152	 0.58	 1.705	 569035	 71130	 71152	 0.58	 99.969	 178	 23	 51	 49767099	 2.238	 1.016	 284.894
cbdata MemBuf (12)  	   64	 	 	 	 	 	 	 	 569160	 35573	 35573	 23.43	 0.852	 569031	 35565	 35573	 23.43	 99.977	 129	 9	 24	 37847992	 1.702	 0.386	 187.961
LRU policy node     	   24	 	 	 	 	 	 	 	 1297183	 30403	 30403	 0.00	 0.728	 1297183	 30403	 30403	 0.00	 100.000	 0	 0	 8	 4811841	 0.216	 0.018	 8.027
MD5 digest          	   16	 	 	 	 	 	 	 	 728265	 11380	 11380	 0.00	 0.273	 728265	 11380	 11380	 0.00	 100.000	 0	 0	 1	 10518494	 0.473	 0.027	 37.535
16K Buffer          	 16384	 	 	 	 	 	 	 	 66	 1056	 1056	 0.58	 0.025	 2	 32	 1056	 0.58	 3.030	 64	 1024	 1056	 6912649	 0.311	 18.065	 30.478
cbdata idns_query (8)	 8696	 	 	 	 	 	 	 	 38	 323	 323	 77.63	 0.008	 0	 0	 323	 77.63	 0.000	 38	 323	 323	 35939	 0.002	 0.050	 0.080
cbdata clientReplyContext (18)	 4320	 	 	 	 	 	 	 	 67	 283	 283	 0.58	 0.007	 3	 13	 283	 0.58	 4.478	 64	 270	 283	 8194685	 0.369	 5.647	 42.414
cbdata ClientSocketContext (17)	 4256	 	 	 	 	 	 	 	 67	 279	 279	 0.58	 0.007	 3	 13	 279	 0.58	 4.478	 64	 266	 279	 8194685	 0.369	 5.563	 42.414
16KB Strings        	 16384	 	 	 	 	 	 	 	 15	 240	 240	 79.77	 0.006	 1	 16	 240	 79.77	 6.667	 14	 224	 240	 8194744	 0.369	 21.415	 42.415
2K Buffer           	 2048	 	 	 	 	 	 	 	 67	 134	 134	 0.58	 0.003	 6	 12	 134	 0.58	 8.955	 61	 122	 128	 47412503	 2.132	 15.488	 247.468
HttpRequest         	 1784	 	 	 	 	 	 	 	 67	 117	 117	 0.58	 0.003	 3	 6	 117	 0.58	 4.478	 64	 112	 117	 8194881	 0.369	 2.332	 42.415
8K Buffer           	 8192	 	 	 	 	 	 	 	 6	 48	 48	 103.86	 0.001	 0	 0	 48	 103.86	 0.000	 6	 48	 48	 323805	 0.015	 0.423	 5.928
Comm::Connection    	  200	 	 	 	 	 	 	 	 208	 41	 41	 0.58	 0.001	 38	 8	 41	 0.58	 18.269	 170	 34	 38	 25729544	 1.157	 0.821	 126.886
squidaio_small_bufs 	 4096	 	 	 	 	 	 	 	 9	 36	 36	 103.86	 0.001	 0	 0	 36	 103.86	 0.000	 9	 36	 36	 6391602	 0.287	 4.176	 54.896
cbdata Server (15)  	  416	 	 	 	 	 	 	 	 67	 28	 28	 0.58	 0.001	 3	 2	 28	 0.58	 4.478	 64	 26	 28	 8194692	 0.369	 0.544	 42.415
cbdata ClientHttpRequest (16)	  384	 	 	 	 	 	 	 	 67	 26	 26	 0.58	 0.001	 3	 2	 26	 0.58	 4.478	 64	 24	 26	 8194685	 0.369	 0.502	 42.414
MimeEntry           	  128	 	 	 	 	 	 	 	 177	 23	 23	 144.07	 0.001	 177	 23	 23	 144.07	 100.000	 0	 0	 0	 0	 0.000	 0.000	 0.000
cbdata HttpStateData (28)	  320	 	 	 	 	 	 	 	 66	 21	 21	 0.58	 0.000	 2	 1	 21	 0.58	 3.030	 64	 20	 21	 6910805	 0.311	 0.353	 30.475
4K Buffer           	 4096	 	 	 	 	 	 	 	 5	 20	 20	 51.01	 0.000	 0	 0	 20	 51.01	 0.000	 5	 20	 20	 909966	 0.041	 0.595	 5.918
fqdncache_entry     	  160	 	 	 	 	 	 	 	 124	 20	 20	 77.63	 0.000	 104	 17	 20	 77.63	 83.871	 20	 4	 6	 35926	 0.002	 0.001	 0.080
cbdata clientStreamNode (19)	  128	 	 	 	 	 	 	 	 134	 17	 17	 0.58	 0.000	 6	 1	 17	 0.58	 4.478	 128	 16	 17	 16389370	 0.737	 0.335	 84.829
4KB Strings         	 4096	 	 	 	 	 	 	 	 4	 16	 16	 2.19	 0.000	 0	 0	 16	 2.19	 0.000	 4	 16	 16	 2188	 0.000	 0.001	 0.215
cbdata FwdState (25)	  176	 	 	 	 	 	 	 	 66	 12	 12	 0.58	 0.000	 2	 1	 12	 0.58	 3.030	 64	 11	 12	 6910805	 0.311	 0.194	 30.475
1KB Strings         	 1024	 	 	 	 	 	 	 	 11	 11	 11	 52.21	 0.000	 1	 1	 11	 52.21	 9.091	 10	 10	 10	 259578	 0.012	 0.042	 0.610
